"SU","transect","min","Date","Time","Mode_num","Mode","V","A","W","log_W","Ah","mAh","Wh","Latitude","Longitude","EKFlat","EKFlon","DVLx","DVLy","DVLlat","DVLlon","Altitude","Depth","Depth_std","Depth_Source","Heading","Velocity_mps","Width","Area_m2","Distance","NEDz","VFR_alt"
103,"0",1.72,"2026-05-12","09:18:42",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
104,"0",1.73,"2026-05-12","09:18:43",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
105,"0",1.75,"2026-05-12","09:18:44",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
106,"0",1.77,"2026-05-12","09:18:45",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
107,"0",1.78,"2026-05-12","09:18:46",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
108,"0",1.8,"2026-05-12","09:18:47",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
109,"0",1.82,"2026-05-12","09:18:48",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
110,"0",1.83,"2026-05-12","09:18:49",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.0500781983137131,0,0,0,NA,0
111,"0",1.85,"2026-05-12","09:18:50",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.0500781983137131,0,0,0,NA,0
112,"0",1.87,"2026-05-12","09:18:51",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.0500781983137131,0,0,0,NA,0
113,"0",1.88,"2026-05-12","09:18:52",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.0500781983137131,0,0,0,NA,0
114,"0",1.9,"2026-05-12","09:18:53",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.0500781983137131,0,0,0,NA,0
115,"0",1.92,"2026-05-12","09:18:54",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.0930897891521454,0,0,0,NA,0
116,"0",1.93,"2026-05-12","09:18:55",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.136101379990578,0,0,0,NA,0
117,"0",1.95,"2026-05-12","09:18:56",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,0.136101379990578,0,0,0,NA,0
